timestamp,open,close,r,equity_r
2025-07-31 08:30:00+00:00,118610.3,118704.9,,0.0
2025-07-31 08:45:00+00:00,118677.5,118593.1,,0.0
2025-07-31 09:00:00+00:00,118556.6,118520.0,,0.0
2025-07-31 09:15:00+00:00,118510.0,118491.9,,0.0
2025-07-31 09:30:00+00:00,118521.0,118518.2,,0.0
2025-07-31 09:45:00+00:00,118547.6,118592.1,,0.0
2025-07-31 10:00:00+00:00,118592.1,118556.5,,0.0
2025-07-31 10:15:00+00:00,118556.5,118452.3,,0.0
2025-07-31 10:30:00+00:00,118473.5,118519.9,,0.0
2025-07-31 10:45:00+00:00,118520.0,118486.9,,0.0
2025-07-31 11:00:00+00:00,118536.8,118510.6,,0.0
2025-07-31 11:15:00+00:00,118510.7,118510.7,,0.0
2025-07-31 11:30:00+00:00,118510.7,118402.0,,0.0
2025-07-31 11:45:00+00:00,118402.0,118349.4,,0.0
2025-07-31 12:00:00+00:00,118349.5,118448.9,,0.0
2025-07-31 12:15:00+00:00,118405.3,118471.3,,0.0
2025-07-31 12:30:00+00:00,118400.0,118400.4,,0.0
2025-07-31 12:45:00+00:00,118407.3,118586.0,,0.0
2025-07-31 13:00:00+00:00,118614.3,118300.7,,0.0
2025-07-31 13:15:00+00:00,118283.0,118163.3,,0.0
2025-07-31 13:30:00+00:00,118111.0,118294.6,,0.0
2025-07-31 13:45:00+00:00,118424.8,118584.9,,0.0
2025-07-31 14:00:00+00:00,118644.9,118304.5,,0.0
2025-07-31 14:15:00+00:00,118283.0,118078.6,,0.0
2025-07-31 14:30:00+00:00,117948.4,118039.8,,0.0
2025-07-31 14:45:00+00:00,117977.7,117929.1,,0.0
2025-07-31 15:00:00+00:00,117982.2,118040.5,,0.0
2025-07-31 15:15:00+00:00,118067.4,118017.2,,0.0
2025-07-31 15:30:00+00:00,118047.0,118273.2,,0.0
2025-07-31 15:45:00+00:00,118294.7,118304.9,,0.0
2025-07-31 16:00:00+00:00,118301.9,118349.4,,0.0
2025-07-31 16:15:00+00:00,118377.7,118511.3,,0.0
2025-07-31 16:30:00+00:00,118520.0,118638.0,,0.0
2025-07-31 16:45:00+00:00,118652.7,118536.6,,0.0
2025-07-31 17:00:00+00:00,118547.4,118281.8,,0.0
2025-07-31 17:15:00+00:00,118235.1,117856.5,,0.0
2025-07-31 17:30:00+00:00,117879.0,118047.0,,0.0
2025-07-31 17:45:00+00:00,118047.0,117755.0,,0.0
2025-07-31 18:00:00+00:00,117772.1,117550.9,,0.0
2025-07-31 18:15:00+00:00,117500.9,117910.4,,0.0
